scheme_id,scheme_name,state,occupation,gender,category,education,min_age,max_age,income_limit,benefit
49,Youth Startup Scheme,Uttar Pradesh,Entrepreneur,All,General,Graduate,18,35,500000,Startup Funding
50,Senior Citizen Welfare Scheme,All,Employee,All,General,Any,60,100,1000000,Senior Citizen Benefits
51,National Health Mission,All,Worker,All,General,Any,18,60,500000,Healthcare Support
52,Rashtriya Swasthya Bima Yojana,All,Worker,All,General,Any,18,60,300000,Medical Insurance
53,National Child Labour Project,All,Student,All,General,Any,8,18,300000,Child Education Support
54,Balika Samridhi Yojana,All,Student,Female,General,Any,0,18,300000,Girl Child Welfare
55,National Scheme for Incentive to Girls,All,Student,Female,General,8th Pass,13,18,500000,Educational Incentive
56,National Overseas Scholarship,All,Student,All,SC/ST/OBC,Graduate,21,35,800000,Study Abroad Assistance
57,Top Class Education Scheme,All,Student,All,SC/ST/OBC,12th Pass,18,30,800000,Higher Education Support
58,Pre Matric Scholarship,All,Student,All,Minority,8th Pass,10,18,250000,School Scholarship
59,Begum Hazrat Mahal Scholarship,All,Student,Female,Minority,10th Pass,14,25,250000,Minority Scholarship
60,National Talent Search Scheme,All,Student,All,General,10th Pass,14,20,1000000,Talent Development
61,Farmer Producer Organisation Scheme,All,Farmer,All,General,Any,18,70,1000000,Agricultural Support
62,National Beekeeping Scheme,All,Farmer,All,General,Any,18,65,1000000,Beekeeping Assistance
63,Dairy Entrepreneurship Development Scheme,All,Farmer,All,General,Any,18,60,1000000,Dairy Business Support
64,Fisheries Development Scheme,All,Farmer,All,General,Any,18,60,1000000,Fisheries Assistance
65,Organic Farming Promotion Scheme,All,Farmer,All,General,Any,18,70,1000000,Organic Farming Support
66,Micro Irrigation Scheme,All,Farmer,All,General,Any,18,70,1000000,Irrigation Subsidy
67,Seed Distribution Scheme,All,Farmer,All,General,Any,18,70,1000000,Quality Seed Support
68,Agricultural Mechanization Scheme,All,Farmer,All,General,Any,18,70,1000000,Farm Equipment Subsidy
69,National Horticulture Mission,All,Farmer,All,General,Any,18,70,1000000,Horticulture Development
70,Krishi Udan Scheme,All,Farmer,All,General,Any,18,70,1000000,Agricultural Logistics Support
71,Women Entrepreneurship Platform,All,Entrepreneur,Female,General,Graduate,18,45,1000000,Business Development
72,MSME Credit Guarantee Scheme,All,Entrepreneur,All,General,Any,18,60,1000000,Loan Guarantee
73,Technology Upgradation Scheme,All,Entrepreneur,All,General,Graduate,18,60,1000000,Technology Support
74,Innovation Promotion Scheme,All,Entrepreneur,All,General,Graduate,18,40,1000000,Innovation Funding
75,Export Promotion Scheme,All,Entrepreneur,All,General,Graduate,21,60,1000000,Export Assistance
76,National Handloom Development Programme,All,Worker,All,General,Any,18,60,500000,Handloom Support
77,National Handicraft Scheme,All,Worker,All,General,Any,18,60,500000,Handicraft Promotion
78,Street Vendors Welfare Scheme,All,Worker,All,General,Any,18,60,500000,Vendor Assistance
79,Construction Workers Welfare Scheme,All,Worker,All,General,Any,18,60,500000,Worker Welfare Benefits
80,Labour Education Scheme,All,Worker,All,General,Any,18,60,500000,Skill Enhancement
81,Divyang Pension Scheme,All,Worker,All,General,Any,18,80,300000,Disability Pension
82,Accessible India Campaign,All,Worker,All,General,Any,18,80,1000000,Accessibility Support
83,Disability Scholarship Scheme,All,Student,All,General,10th Pass,14,30,300000,Scholarship for Disabled Students
84,National Trust Scheme,All,Worker,All,General,Any,18,80,500000,Disability Support Services
85,Senior Citizens Savings Scheme,All,Employee,All,General,Any,60,100,1000000,Savings Benefits
86,Indira Gandhi National Old Age Pension,All,Employee,All,General,Any,60,100,300000,Old Age Pension
87,Widow Pension Scheme,All,Homemaker,Female,General,Any,18,80,300000,Financial Support
88,National Social Assistance Programme,All,Worker,All,General,Any,18,80,300000,Social Security Benefits
89,Sports Scholarship Scheme,All,Student,All,General,10th Pass,14,25,1000000,Sports Scholarship
90,Khelo India Scheme,All,Student,All,General,8th Pass,10,25,1000000,Sports Development
91,Youth Leadership Programme,All,Student,All,General,12th Pass,18,30,1000000,Leadership Training
92,National Service Scheme Support,All,Student,All,General,12th Pass,18,30,1000000,Community Development
93,Digital Skill Mission,All,Student,All,General,10th Pass,16,35,1000000,Digital Skills Training
94,Cyber Security Awareness Programme,All,Student,All,General,12th Pass,18,35,1000000,Cyber Security Training
95,AI Skill Development Programme,All,Student,All,General,Graduate,18,35,1000000,Artificial Intelligence Training
96,Data Science Fellowship Scheme,All,Student,All,General,Graduate,21,35,1000000,Data Science Fellowship
97,Green Energy Internship Scheme,All,Student,All,General,Graduate,18,30,1000000,Renewable Energy Internship
98,Research Internship Programme,All,Student,All,General,Graduate,18,30,1000000,Research Experience
99,Rural Innovation Fellowship,All,Student,All,General,Graduate,21,35,1000000,Rural Development Fellowship
100,Digital Governance Fellowship,All,Student,All,General,Graduate,21,35,1000000,E-Governance Fellowship
